순위,도서명,저자,출판사,정가,판매가
101,데이터 중심 애플리케이션 설계,마틴 클레프만 외,위키북스,36000,32400
102,교사와 학부모를 위한 바이브 코딩,황건호 외,씨마스21,27000,24300
103,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,송해남 외,프리렉,27000,24300
104,AI시대에 난생처음 들어보는 데이터센터 이야기,김주회,북플레이트,22000,19800
105,모두의 노션 AI,임대균 외,생능북스,16800,15120
106,바쁜 교사를 위한 바로 쓰는 AI,전소영 외,사회평론아카데미,24000,21600
107,AI 자율학습 제미나이로 일 잘하는 법,성구(강성규),길벗,26000,23400
108,2026 시나공 정보처리기사 실기 총정리,길벗알앤디,길벗,33000,29700
109,2026 혜원장의 전산회계 2급 이론+실무+기출+100% 무료강의,이혜원(혜원장),직업상점,24000,21600
110,2026 이기적 리눅스마스터 1급(1·2차) 기본서 세트,김윤수 외,영진닷컴,38000,34200
111,2026 에듀윌 빅데이터분석기사 필기 한권끝장,윤소영,에듀윌,33000,29700
112,2026 이기적 멀티미디어콘텐츠제작전문가 필기 최신문제집,김유경(60kim),영진닷컴,23000,20700
113,2026 시나공 프로그래밍기능사 필기 기본서,길벗알앤디,길벗,21000,18900
114,2026 이기적 워드프로세서 필기+실기 올인원,김옥남 외,영진닷컴,30000,27000
115,2026 이기적 CPPG 개인정보관리사 기본서,이제이 외,영진닷컴,38000,34200
116,2026 이기적 컴퓨터활용능력 1급 실기 기본서,박윤정,영진닷컴,38000,34200
117,혼자 공부하는 C 언어,서현우,한빛미디어,26000,23400
118,혼자 공부하는 데이터 분석 with 파이썬,박해선,한빛미디어,26000,23400
119,AI와 의료 지식 탐색,설아람,커뮤니케이션북스,12000,12000
120,요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품,시몬,골든래빗(주),34000,30600
121,심플 디자인,박영록,위키북스,18000,16200
122,"딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트",LearnAI,위키북스,26000,23400
123,이게 되네? 클로드 MCP 커넥터 미친 활용법 31제,박현규 외,골든래빗(주),24000,21600
124,바로바로 챗GPT X 덕테이프 X 코덱스,박현규,골든래빗(주),24000,21600
125,"다시, 소프트웨어 엔지니어",네서니얼 슈타 외,책만,30000,27000
126,만들면서 배우는 AI 에이전트 개발 입문+실전,박나연(공원나연),한빛미디어,37000,33300
127,된다! 조회수 터지는 인스타그램 릴스 만들기,최지영,이지스퍼블리싱,21000,18900
128,2026 시대에듀 유선배 SQL개발자(SQLD) 합격노트,정미나,시대고시기획,24000,21600
129,2026 알기사 정보보안기사(산업기사) 실기,정일영,지안에듀,46000,41400
130,AI 에이전트 엔지니어링,마이클 알바다 외,한빛미디어,32000,28800
131,2026 이기적 프로그래밍기능사 필기 기본서,김흥식(한다맨),영진닷컴,20000,18000
132,2026 이기적 컴퓨터활용능력 1급 필기 기본서,홍태성 외,영진닷컴,31000,27900
133,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,엄태효,위키북스,28000,25200
134,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,조훈,길벗,24000,21600
135,2027 이기적 ITQ 한글 ver.2022,영진정보연구소,영진닷컴,17000,15300
136,요즘 바이브 코딩 하네스 with 클로드 코드,조성진,골든래빗(주),30000,27000
137,바로바로 바이브 코딩 with 커서 AI,박현규,골든래빗(주),30000,27000
138,옵시디언 프로페셔널 노트,구요한,리코멘드,25000,22500
139,2026 빠르게 따는 SQLD SQL 개발자,이유성 외,골든래빗(주),24000,21600
140,2026 에듀윌 전산회계 2급 2주끝장,박진혁,에듀윌,22000,19800
141,"이기적 네트워크관리사 1, 2급 필기+실기 올인원",임호진 외,영진닷컴,30000,27000
142,2026 수제비 정보처리기사 실기 기본서,윤영빈 외,수제비출판사,40000,36000
143,밑바닥부터 시작하는 딥러닝 1(리마스터판),사이토 고키 외,한빛미디어,26000,23400
144,2024 국가공인 SQLP 자격검정 핵심노트 2,조시형,디비안(주)(DBian),32000,32000
145,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,34000,30600
146,비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,16800,15120
147,이게 되네? AI 실무 올인원 미친 활용법 71제,이석현,골든래빗(주),26000,23400
148,"2027 빠르게 따는 리눅스마스터 2급(1, 2차)",권대우,골든래빗(주),28000,25200
149,Do it! 바이브 코딩 + 안티그래비티,조준수,이지스퍼블리싱,24000,21600
150,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),송상미 외,광문각출판미디어,19000,17100
151,인스타툰 그리기 with 클립 스튜디오: 인스타툰 채널을 키우고 수익화하는 실전 노하우부터 완성이 빨라지는 클립 스튜디오 활용 꿀팁까지!,새나곰(정은아),한빛미디어,23000,20700
152,클로드 코드를 활용한 바이브 코딩 완벽 입문,히라카와 토모히데 외,위키북스,26000,23400
153,2026 이기적 정보보안기사 필기 기출 1400제,임호진,영진닷컴,20000,18000
154,2026 박문각 ADsP 데이터분석 준전문가 기출원스톱 400제+무료특강,육근수,박문각,15000,13500
155,2026 혜원장의 전산회계 1급 이론+실무+기출+100% 무료강의,이혜원(혜원장),직업상점,32000,28800
156,2026 에듀윌 전산회계 1급 2주끝장,김성수,에듀윌,28000,25200
157,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,28000,25200
158,2026 이기적 컴퓨터활용능력 2급 필기 기출 800제,영진정보연구소,영진닷컴,13000,11700
159,AI 엔지니어링,칩 후옌 외,한빛미디어,40000,36000
160,2026 이기적 컴퓨터활용능력 2급 필기 최신문제집,홍태성 외,영진닷컴,17000,15300
161,2026 이기적 정보처리기사 필기 기출 1500제,신면철 외,영진닷컴,20000,18000
162,2024 국가공인 SQLP 자격검정 핵심노트 1,조시형,디비안(주)(DBian),32000,32000
163,핸즈온 머신러닝,오렐리앙 제롱 외,한빛미디어,60000,54000
164,2027 이기적 ITQ OA Master 엑셀 파워포인트 ver.2021 한글 ver. 2022 올인원,영진정보연구소,영진닷컴,30000,27000
165,압도적 스킬로 바로 쓰는 클로드 코워크×AI 자동화,강다솔 외,프리렉,28000,25200
166,2027 이기적 사무자동화산업기사 필기 기본서,박성조,영진닷컴,26000,23400
167,"벡터 데이터베이스 설계와 구축: Vector DB에서 RAG, 그리고 Graph DB까지",송기상,아이리포,19800,17820
168,무조건 승인되는 이모티콘 & 굿즈 만들기,백지수,시대인,18000,16200
169,2027 최적합 네트워크 관리사 1.2급 필기+실기,허준 외,성안당,30000,27000
170,바이브 엔지니어링,제이 킴,길벗,24000,21600
171,프롬프트 해부학,박민지,루비페이퍼,28000,25200
172,2027 이기적 AI-POT AI 프롬프트활용능력 2급 기본서,김영진,영진닷컴,30000,27000
173,2026 해커스 전산세무 1급 한권합격 법인세 이론+실무+최신기출 12회분,이남호,해커스금융,35000,31500
174,2026 에듀윌 전산세무 2급 한권끝장,김성수,에듀윌,29000,26100
175,에이전트 시대의 AI 시스템 설계,발리아파 락슈마난 외,한빛미디어,42000,37800
176,제미나이 교사 마스터 플랜,한민철,책바세,30000,27000
177,2026 이기적 프로그래밍기능사 실기 기본서,임승현,영진닷컴,21000,18900
178,2026 선넘는 ADsP 데이터분석 준전문가 라임북,공석민,쏠티북스,31000,27900
179,2026 시나공 ADsP 데이터분석 준전문가 기출문제의 재구성,이상미,길벗,25000,22500
180,2026 시나공 컴퓨터활용능력 2급 실기 기출문제집,길벗알앤디,길벗,16000,14400
181,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오",현병욱(오땡큐) 외,시프트,20000,18000
